query_id,doc_id
q350667,d5048114
q350667,d2711565
q350667,d7906740
q350667,d3364072
q350667,d5920951
q350667,d6314577
q350667,d5920949
q350667,d6314578
q350667,d1541390
q350667,d3975715
q350667,d8176023
q350667,d3031292
q350667,d1541394
q350667,d3031290
q350667,d1541391
q350667,d3031288
q350667,d1541398
q350667,d6889449
q350667,d5920950
q350667,d3031291
q101361,d884260
q101361,d3922588
q101361,d884258
q101361,d3825141
q101361,d8379782
q101361,d6600120
q101361,d6622917
q101361,d884264
q101361,d884259
q101361,d1288589
q101361,d7386675
q101361,d884263
q101361,d6588888
q101361,d3825140
q101361,d5663631
q101361,d884257
q101361,d884262
q101361,d1288590
q101361,d7654489
q101361,d8379781
q306761,d2637658
q306761,d3762322
q306761,d2980090
q306761,d8028660
q306761,d4791611
q306761,d3762321
q306761,d7013088
q306761,d2601115
q306761,d4987958
q306761,d7931378
q306761,d2980089
q306761,d7331631
q306761,d3179374
q306761,d6239389
q306761,d5642692
q306761,d2601118
q306761,d2601121
q306761,d2601120
q306761,d2601119
q306761,d4054610
q374209,d2056812
q374209,d4666058
q374209,d3262000
q374209,d1915382
q374209,d4666060
q374209,d5244078
q374209,d3261998
q374209,d8434628
q374209,d3261999
q374209,d7977458
q374209,d1915388
q374209,d6273140
q374209,d3262001
q374209,d3580225
q374209,d8434629
q374209,d3261996
q374209,d4666057
q374209,d4666059
q374209,d3261997
q374209,d4785947
q23086,d121834
q23086,d3650432
q23086,d620310
q23086,d318523
q23086,d38702
q23086,d62741
q23086,d45390
q23086,d464139
q23086,d49957
q23086,d878700
q23086,d2834766
q23086,d213482
q23086,d49958
q23086,d406293
q23086,d812176
q23086,d9105949
q23086,d38705
q23086,d162932
q23086,d207892
q23086,d5525250
q318076,d939062
q318076,d8569378
q318076,d939068
q318076,d7758665
q318076,d939069
q318076,d7758666
q318076,d4197913
q318076,d2710050
q318076,d2710048
q318076,d8102507
q318076,d8102506
q318076,d6206191
q318076,d6206190
q318076,d6335472
q318076,d2710049
q318076,d2089426
q318076,d8985284
q318076,d939065
q318076,d9171259
q318076,d2710046
q95275,d5717835
q95275,d1783866
q95275,d7255701
q95275,d833159
q95275,d4497695
q95275,d833157
q95275,d7255699
q95275,d5717836
q95275,d833165
q95275,d5348222
q95275,d2694456
q95275,d7255700
q95275,d833163
q95275,d8140761
q95275,d833160
q95275,d4242163
q95275,d833161
q95275,d8325348
q95275,d8613529
q95275,d4770495
q386740,d3386610
q386740,d3386601
q386740,d8153416
q386740,d8153418
q386740,d3386609
q386740,d6774377
q386740,d3386604
q386740,d3386602
q386740,d6371900
q386740,d6371898
q386740,d3811682
q386740,d7844828
q386740,d3811681
q386740,d3386606
q386740,d3386605
q386740,d7545663
q386740,d3386603
q386740,d7930063
q386740,d8153417
q386740,d6371897
q59635,d1712137
q59635,d2932019
q59635,d531972
q59635,d531968
q59635,d940338
q59635,d2181211
q59635,d531975
q59635,d531969
q59635,d8684449
q59635,d6047528
q59635,d4546282
q59635,d531970
q59635,d531971
q59635,d940335
q59635,d4745886
q59635,d2932018
q59635,d531976
q59635,d8786114
q59635,d4903896
q59635,d6248335
q138637,d1193895
q138637,d8267908
q138637,d4810741
q138637,d8727580
q138637,d1193900
q138637,d7552697
q138637,d3967065
q138637,d1193894
q138637,d8898252
q138637,d7552698
q138637,d1193897
q138637,d4810739
q138637,d3967064
q138637,d6090832
q138637,d8727581
q138637,d3967066
q138637,d4810742
q138637,d2147385
q138637,d1193898
q138637,d7844427
q165508,d2981450
q165508,d3132555
q165508,d1409202
q165508,d37257
q165508,d692326
q165508,d4210027
q165508,d4796431
q165508,d6695550
q165508,d1409199
q165508,d1415035
q165508,d368149
q165508,d368152
q165508,d5792645
q165508,d1409205
q165508,d368148
q165508,d1409201
q165508,d7590109
q165508,d6661838
q165508,d8556795
q165508,d310264
q131568,d8008449
q131568,d8251677
q131568,d6428420
