textId,label_type,start_pos,end_pos
0,解剖部位,39,40
0,解剖部位,53,54
0,解剖部位,57,58
0,解剖部位,74,75
0,疾病和诊断,96,120
0,解剖部位,125,129
0,疾病和诊断,134,136
0,疾病和诊断,137,141
0,疾病和诊断,142,148
0,手术,186,195
0,疾病和诊断,291,300
0,药物,422,425
0,药物,428,431
0,解剖部位,10,12
0,解剖部位,237,239
0,疾病和诊断,382,385
0,解剖部位,32,33
0,解剖部位,47,48
1,解剖部位,40,41
1,疾病和诊断,68,73
1,影像检查,89,91
1,解剖部位,93,95
1,疾病和诊断,100,102
1,解剖部位,105,113
1,解剖部位,132,133
1,解剖部位,135,136
1,解剖部位,151,152
1,解剖部位,43,44
1,解剖部位,148,149
2,疾病和诊断,15,22
2,手术,34,43
2,疾病和诊断,49,52
2,疾病和诊断,58,65
2,解剖部位,113,118
2,影像检查,140,142
2,解剖部位,144,147
2,影像检查,183,188
2,手术,214,220
2,解剖部位,239,244
2,药物,73,77
2,影像检查,231,237
2,影像检查,105,111
2,解剖部位,279,280
2,解剖部位,283,284
3,影像检查,23,27
3,解剖部位,29,30
3,疾病和诊断,44,54
3,疾病和诊断,59,64
3,手术,82,87
3,解剖部位,95,101
3,解剖部位,108,110
3,疾病和诊断,120,125
3,疾病和诊断,128,138
3,药物,173,176
3,药物,200,202
3,药物,208,211
3,药物,219,221
3,药物,318,321
3,药物,365,368
3,药物,167,171
3,药物,187,191
3,药物,192,195
3,药物,212,215
4,解剖部位,30,32
4,解剖部位,57,59
4,解剖部位,107,109
4,解剖部位,110,114
4,疾病和诊断,124,131
4,影像检查,132,134
4,解剖部位,137,141
4,解剖部位,250,251
4,解剖部位,261,267
4,手术,269,274
4,解剖部位,277,278
4,解剖部位,280,282
4,解剖部位,283,285
4,解剖部位,310,314
4,解剖部位,206,209
4,解剖部位,97,100
4,手术,214,220
4,解剖部位,20,21
4,解剖部位,17,18
4,解剖部位,305,306
5,手术,17,23
5,解剖部位,119,120
5,解剖部位,197,198
5,解剖部位,200,201
5,疾病和诊断,83,87
5,疾病和诊断,184,188
5,解剖部位,30,33
5,解剖部位,166,169
5,药物,98,104
5,药物,135,141
5,疾病和诊断,12,15
6,疾病和诊断,39,47
6,疾病和诊断,55,59
6,疾病和诊断,60,72
6,解剖部位,206,211
6,疾病和诊断,217,224
6,解剖部位,320,321
6,药物,172,174
6,药物,246,248
6,药物,263,265
6,药物,111,114
6,药物,241,244
6,药物,253,256
6,药物,101,105
6,药物,159,163
6,解剖部位,327,328
7,解剖部位,71,73
7,疾病和诊断,224,231
7,解剖部位,198,201
7,疾病和诊断,238,243
7,药物,163,166
7,药物,151,153
7,疾病和诊断,14,17
7,解剖部位,76,77
7,解剖部位,79,80
7,手术,32,46
7,解剖部位,64,65
8,解剖部位,16,18
8,解剖部位,33,34
8,疾病和诊断,55,57
8,解剖部位,75,78
8,解剖部位,83,84
8,解剖部位,95,99
8,解剖部位,112,114
8,手术,147,161
8,解剖部位,168,172
8,疾病和诊断,199,204
8,解剖部位,211,212
8,解剖部位,225,227
8,解剖部位,232,233
8,解剖部位,238,242
8,解剖部位,246,248
8,解剖部位,274,275
8,解剖部位,277,281
8,解剖部位,282,284
8,疾病和诊断,379,384
8,实验室检验,385,392
8,疾病和诊断,183,194
8,解剖部位,70,71
8,解剖部位,80,81
8,解剖部位,285,286
9,疾病和诊断,6,8
9,手术,12,32
9,疾病和诊断,46,64
9,解剖部位,129,131
9,疾病和诊断,144,147
9,解剖部位,110,111
9,解剖部位,126,127
10,解剖部位,16,20
10,解剖部位,71,72
10,影像检查,129,133
10,解剖部位,135,147
10,疾病和诊断,166,168
10,疾病和诊断,193,197
10,疾病和诊断,204,209
10,疾病和诊断,223,226
11,疾病和诊断,12,22
11,手术,42,56
11,疾病和诊断,63,73
11,解剖部位,86,87
11,影像检查,149,153
11,解剖部位,155,157
11,影像检查,202,206
11,解剖部位,208,210
11,药物,121,124
11,药物,126,129
12,疾病和诊断,32,40
12,手术,59,67
12,疾病和诊断,80,85
12,解剖部位,89,90
12,手术,225,247
12,疾病和诊断,279,290
12,解剖部位,300,301
12,疾病和诊断,306,308
12,解剖部位,311,312
12,药物,200,207
12,解剖部位,356,357
12,解剖部位,360,361
13,疾病和诊断,41,46
13,疾病和诊断,107,111
13,解剖部位,154,156
13,疾病和诊断,168,172
13,实验室检验,254,269
13,疾病和诊断,290,292
13,疾病和诊断,293,297
13,解剖部位,327,329
13,疾病和诊断,343,350
13,影像检查,352,356
13,解剖部位,400,401
13,手术,199,203
14,手术,28,42
14,解剖部位,104,109
14,药物,194,197
14,疾病和诊断,343,346
14,实验室检验,349,357
14,疾病和诊断,52,65
14,疾病和诊断,227,232
14,药物,163,165
14,药物,191,193
14,药物,169,172
14,药物,166,168
14,疾病和诊断,20,23
15,解剖部位,15,19
15,解剖部位,73,74
15,解剖部位,124,126
15,解剖部位,145,147
15,解剖部位,70,71
16,解剖部位,7,10
16,解剖部位,15,18
16,解剖部位,53,54
16,解剖部位,71,72
16,解剖部位,99,102
16,解剖部位,129,131
16,疾病和诊断,162,166
16,手术,170,178
16,疾病和诊断,192,194
16,疾病和诊断,155,158
16,解剖部位,34,35
16,解剖部位,61,62
16,解剖部位,64,65
16,解剖部位,68,69
17,手术,31,43
17,解剖部位,89,90
17,疾病和诊断,124,128
17,影像检查,175,179
17,解剖部位,180,184
17,手术,213,225
17,手术,243,256
17,手术,279,289
17,疾病和诊断,9,14
17,疾病和诊断,328,333
17,解剖部位,63,64
18,药物,15,21
18,解剖部位,41,42
18,解剖部位,45,46
18,解剖部位,85,86
18,疾病和诊断,158,172
18,解剖部位,201,204
18,疾病和诊断,211,217
18,疾病和诊断,230,234
18,解剖部位,27,29
18,疾病和诊断,122,126
19,解剖部位,94,96
19,疾病和诊断,98,124
19,手术,139,145
19,疾病和诊断,175,212
19,疾病和诊断,259,266
19,实验室检验,22,28
20,解剖部位,18,20
20,手术,50,58
20,解剖部位,71,73
20,手术,95,103
20,疾病和诊断,120,135
20,手术,144,158
20,解剖部位,198,199
20,解剖部位,226,227
20,疾病和诊断,251,257
20,解剖部位,195,196
21,解剖部位,23,25
21,解剖部位,63,64
21,解剖部位,88,89
21,解剖部位,94,95
21,解剖部位,123,126
21,实验室检验,150,153
21,实验室检验,165,168
21,实验室检验,183,186
21,实验室检验,200,202
21,解剖部位,239,240
21,解剖部位,248,249
21,解剖部位,301,303
21,解剖部位,318,319
21,解剖部位,46,48
21,解剖部位,106,108
21,疾病和诊断,211,216
21,疾病和诊断,394,399
21,解剖部位,14,15
21,解剖部位,17,18
21,解剖部位,351,352
22,疾病和诊断,29,64
22,疾病和诊断,84,95
22,解剖部位,169,170
22,疾病和诊断,208,212
22,疾病和诊断,9,22
22,解剖部位,96,102
22,解剖部位,166,167
22,解剖部位,78,79
22,解剖部位,121,122
23,手术,31,48
23,疾病和诊断,92,98
23,药物,123,127
23,疾病和诊断,206,211
23,药物,128,131
23,疾病和诊断,11,15
24,解剖部位,24,25
24,解剖部位,49,50
24,解剖部位,66,67
24,疾病和诊断,84,87
24,药物,116,120
24,解剖部位,271,272
24,疾病和诊断,303,306
24,解剖部位,226,228
24,疾病和诊断,171,177
