textId,label_type,start_pos,end_pos
0,解剖部位,10,12
0,解剖部位,237,239
0,疾病和诊断,382,385
0,解剖部位,32,33
0,解剖部位,47,48
1,解剖部位,43,44
1,解剖部位,148,149
2,药物,73,77
2,影像检查,105,111
2,影像检查,231,237
2,解剖部位,279,280
2,解剖部位,283,284
3,药物,192,195
3,药物,212,215
3,药物,167,171
3,药物,187,191
4,手术,214,220
4,解剖部位,206,209
4,解剖部位,97,100
4,解剖部位,20,21
4,解剖部位,17,18
4,解剖部位,305,306
5,解剖部位,30,33
5,解剖部位,166,169
5,药物,98,104
5,药物,135,141
5,疾病和诊断,83,87
5,疾病和诊断,184,188
5,疾病和诊断,12,15
6,药物,111,114
6,药物,172,174
6,药物,246,248
6,药物,263,265
6,药物,241,244
6,药物,253,256
6,药物,101,105
6,药物,159,163
6,解剖部位,327,328
7,药物,163,166
7,药物,151,153
7,疾病和诊断,238,243
7,解剖部位,198,201
7,疾病和诊断,14,17
7,解剖部位,76,77
7,解剖部位,79,80
7,手术,32,46
7,解剖部位,64,65
8,疾病和诊断,183,194
8,解剖部位,70,71
8,解剖部位,80,81
8,解剖部位,285,286
9,解剖部位,110,111
9,解剖部位,126,127
10,疾病和诊断,223,226
11,药物,126,129
11,药物,121,124
12,药物,200,207
12,解剖部位,356,357
12,解剖部位,360,361
13,手术,199,203
14,疾病和诊断,52,65
14,药物,166,168
14,药物,163,165
14,药物,191,193
14,药物,169,172
14,疾病和诊断,227,232
14,疾病和诊断,20,23
15,解剖部位,70,71
16,疾病和诊断,155,158
16,解剖部位,34,35
16,解剖部位,64,65
16,解剖部位,68,69
17,疾病和诊断,9,14
17,疾病和诊断,328,333
17,解剖部位,63,64
18,疾病和诊断,122,126
18,解剖部位,27,29
19,实验室检验,22,28
20,解剖部位,195,196
21,解剖部位,106,108
21,疾病和诊断,211,216
21,疾病和诊断,394,399
21,解剖部位,46,48
21,解剖部位,14,15
21,解剖部位,17,18
21,解剖部位,351,352
22,解剖部位,96,102
22,疾病和诊断,9,22
22,解剖部位,166,167
22,解剖部位,78,79
22,解剖部位,121,122
23,药物,123,127
23,药物,128,131
23,疾病和诊断,206,211
23,疾病和诊断,11,15
24,疾病和诊断,171,177
24,疾病和诊断,155,164
24,解剖部位,226,228
24,解剖部位,222,223
24,解剖部位,46,47
24,解剖部位,91,92
24,解剖部位,122,123
25,解剖部位,19,20
25,解剖部位,67,68
25,解剖部位,78,79
26,疾病和诊断,162,171
26,解剖部位,72,73
26,解剖部位,99,100
27,疾病和诊断,139,142
27,解剖部位,14,16
28,疾病和诊断,241,244
28,解剖部位,262,265
29,解剖部位,215,217
29,解剖部位,117,118
29,解剖部位,200,201
30,疾病和诊断,32,36
30,疾病和诊断,138,141
30,疾病和诊断,245,252
30,手术,153,159
30,解剖部位,213,214
31,疾病和诊断,143,147
31,解剖部位,192,193
31,解剖部位,196,197
32,解剖部位,161,167
32,疾病和诊断,350,354
32,解剖部位,26,28
32,解剖部位,238,240
32,解剖部位,93,94
32,解剖部位,107,108
33,疾病和诊断,26,30
33,药物,40,44
33,疾病和诊断,120,123
34,解剖部位,25,27
35,解剖部位,44,48
35,疾病和诊断,52,57
35,疾病和诊断,241,248
35,解剖部位,165,166
35,解剖部位,168,169
35,解剖部位,137,138
35,解剖部位,190,191
36,解剖部位,49,50
36,解剖部位,136,137
37,药物,85,89
37,药物,100,103
37,解剖部位,145,146
37,解剖部位,125,126
38,解剖部位,83,89
38,疾病和诊断,178,184
38,解剖部位,139,140
39,疾病和诊断,503,506
39,解剖部位,163,167
39,疾病和诊断,412,419
39,药物,370,374
39,药物,382,385
39,解剖部位,10,11
39,解剖部位,24,25
39,解剖部位,57,58
39,解剖部位,16,17
40,解剖部位,16,19
40,解剖部位,25,28
42,药物,196,199
42,药物,263,266
42,解剖部位,340,342
42,疾病和诊断,374,379
42,解剖部位,347,348
42,解剖部位,223,224
42,解剖部位,326,327
43,影像检查,274,278
44,疾病和诊断,345,348
44,药物,296,300
44,解剖部位,239,241
44,解剖部位,253,256
44,疾病和诊断,119,129
44,解剖部位,20,21
45,疾病和诊断,78,83
45,疾病和诊断,272,277
45,解剖部位,219,220
45,解剖部位,222,223
45,解剖部位,87,88
45,解剖部位,175,176
46,实验室检验,208,211
46,解剖部位,9,10
47,疾病和诊断,147,151
47,疾病和诊断,8,10
47,解剖部位,68,69
47,解剖部位,79,80
47,手术,18,23
48,解剖部位,210,215
48,解剖部位,233,238
48,解剖部位,93,95
49,疾病和诊断,14,19
49,疾病和诊断,138,143
49,疾病和诊断,345,350
49,疾病和诊断,247,252
49,解剖部位,52,55
49,解剖部位,37,38
49,解剖部位,322,323
49,解剖部位,325,326
49,解剖部位,164,165
49,解剖部位,62,63
50,药物,221,228
51,解剖部位,46,48
51,解剖部位,15,16
52,解剖部位,16,19
52,解剖部位,83,86
52,解剖部位,18,19
53,疾病和诊断,156,159
54,解剖部位,28,31
54,解剖部位,35,38
54,解剖部位,166,167
55,药物,278,282
55,药物,311,315
55,药物,190,192
55,疾病和诊断,215,222
55,解剖部位,15,18
55,药物,172,174
56,解剖部位,11,12
56,解剖部位,129,130
56,解剖部位,132,133
57,解剖部位,124,130
57,疾病和诊断,351,356
57,解剖部位,265,266
57,解剖部位,289,290
57,解剖部位,313,314
57,解剖部位,263,264
57,解剖部位,287,288
57,解剖部位,316,317
58,疾病和诊断,29,34
58,疾病和诊断,11,24
58,疾病和诊断,278,283
59,疾病和诊断,61,67
59,药物,76,80
59,解剖部位,32,33
59,解剖部位,172,173
60,解剖部位,71,73
60,疾病和诊断,137,140
60,解剖部位,7,8
60,解剖部位,198,199
60,解剖部位,267,268
60,解剖部位,242,243
61,解剖部位,20,21
61,解剖部位,203,204
61,解剖部位,11,12
61,解剖部位,145,146
61,解剖部位,183,184
61,解剖部位,92,93
61,解剖部位,193,194
61,解剖部位,125,126
62,解剖部位,15,17
62,解剖部位,157,158
62,解剖部位,159,160
63,药物,204,208
63,疾病和诊断,245,251
63,手术,69,74
64,解剖部位,90,91
64,解剖部位,93,94
64,解剖部位,146,147
65,疾病和诊断,138,143
65,手术,20,24
67,疾病和诊断,138,142
67,疾病和诊断,31,35
67,疾病和诊断,43,47
67,疾病和诊断,71,75
67,疾病和诊断,225,229
67,解剖部位,117,118
67,解剖部位,201,202
68,手术,155,166
68,解剖部位,43,46
68,解剖部位,77,78
