textId,label_type,start_pos,end_pos
0,解剖部位,10,12
0,解剖部位,32,33
0,解剖部位,39,40
0,解剖部位,47,48
0,解剖部位,53,54
0,解剖部位,57,58
0,解剖部位,74,75
0,影像检查,96,108
0,解剖部位,109,112
0,疾病和诊断,117,120
0,解剖部位,125,129
0,疾病和诊断,134,136
0,疾病和诊断,137,141
0,疾病和诊断,142,148
0,解剖部位,186,189
0,解剖部位,237,239
0,疾病和诊断,291,300
0,疾病和诊断,382,385
0,药物,422,425
0,药物,428,431
1,解剖部位,40,41
1,解剖部位,43,44
1,疾病和诊断,68,73
1,影像检查,89,91
1,解剖部位,93,95
1,疾病和诊断,100,102
1,解剖部位,105,113
1,解剖部位,132,133
1,解剖部位,135,136
1,解剖部位,148,149
1,解剖部位,151,152
2,疾病和诊断,15,22
2,手术,34,43
2,疾病和诊断,49,52
2,疾病和诊断,58,65
2,药物,73,77
2,影像检查,105,111
2,解剖部位,113,118
2,影像检查,140,142
2,疾病和诊断,144,163
2,影像检查,183,188
2,手术,214,220
2,影像检查,231,237
2,疾病和诊断,239,250
2,解剖部位,279,280
2,解剖部位,283,284
3,影像检查,23,26
3,解剖部位,29,30
3,解剖部位,44,47
3,疾病和诊断,59,64
3,手术,82,87
3,解剖部位,95,101
3,解剖部位,108,110
3,疾病和诊断,123,138
3,药物,167,176
3,药物,187,191
3,药物,192,195
3,药物,200,202
3,药物,208,211
3,药物,212,215
3,药物,219,221
3,药物,318,321
3,药物,365,368
4,解剖部位,17,18
4,解剖部位,20,21
4,解剖部位,30,32
4,解剖部位,57,59
4,解剖部位,97,100
4,解剖部位,107,109
4,解剖部位,110,114
4,疾病和诊断,124,131
4,影像检查,132,134
4,解剖部位,137,141
4,手术,204,220
4,解剖部位,250,251
4,解剖部位,262,267
4,手术,269,274
4,解剖部位,280,282
4,解剖部位,283,285
4,解剖部位,305,306
4,解剖部位,310,314
5,疾病和诊断,12,15
5,手术,17,23
5,影像检查,26,28
5,解剖部位,30,33
5,解剖部位,119,120
5,疾病和诊断,163,171
5,疾病和诊断,184,187
5,解剖部位,197,198
5,解剖部位,200,201
6,疾病和诊断,39,47
6,疾病和诊断,55,59
6,疾病和诊断,60,72
6,解剖部位,97,98
6,药物,101,105
6,药物,111,114
6,药物,159,163
6,药物,172,174
6,解剖部位,206,211
6,解剖部位,217,222
6,药物,239,248
6,药物,253,256
6,药物,263,265
6,解剖部位,327,328
7,疾病和诊断,14,17
7,手术,32,46
7,解剖部位,64,65
7,解剖部位,71,73
7,解剖部位,76,77
7,解剖部位,79,80
7,药物,151,153
7,药物,163,166
7,解剖部位,198,201
7,疾病和诊断,224,231
7,疾病和诊断,238,255
8,解剖部位,16,18
8,解剖部位,33,34
8,疾病和诊断,55,57
8,解剖部位,70,71
8,解剖部位,75,78
8,解剖部位,80,81
8,解剖部位,83,84
8,解剖部位,95,99
8,解剖部位,112,114
8,手术,147,161
8,疾病和诊断,167,173
8,疾病和诊断,183,204
8,解剖部位,211,212
8,解剖部位,225,228
8,解剖部位,232,233
8,解剖部位,238,242
8,解剖部位,246,248
8,解剖部位,274,276
8,解剖部位,277,281
8,解剖部位,282,284
8,解剖部位,285,286
8,疾病和诊断,379,384
9,疾病和诊断,6,8
9,手术,12,32
9,疾病和诊断,46,64
9,解剖部位,110,111
9,解剖部位,126,127
9,解剖部位,129,131
9,疾病和诊断,144,147
10,解剖部位,16,20
10,解剖部位,71,72
10,影像检查,129,133
10,解剖部位,135,148
10,疾病和诊断,166,168
10,疾病和诊断,193,197
10,疾病和诊断,204,209
10,疾病和诊断,223,226
11,疾病和诊断,12,22
11,手术,42,56
11,疾病和诊断,63,73
11,解剖部位,86,87
11,药物,121,129
11,影像检查,149,153
11,解剖部位,155,157
11,影像检查,202,206
11,解剖部位,208,210
12,疾病和诊断,32,40
12,手术,54,67
12,解剖部位,89,90
12,药物,200,207
12,手术,225,247
12,疾病和诊断,279,290
12,疾病和诊断,306,308
12,解剖部位,311,316
12,解剖部位,356,357
12,解剖部位,360,361
13,疾病和诊断,41,46
13,疾病和诊断,107,111
13,解剖部位,154,156
13,疾病和诊断,168,172
13,手术,199,204
13,实验室检验,254,269
13,疾病和诊断,290,297
13,疾病和诊断,343,350
13,解剖部位,400,401
14,疾病和诊断,20,23
14,手术,28,42
14,疾病和诊断,52,61
14,解剖部位,104,109
14,药物,163,165
14,药物,166,168
14,药物,169,172
14,药物,191,193
14,药物,194,197
14,疾病和诊断,227,232
14,疾病和诊断,288,291
14,药物,319,322
14,药物,353,357
15,解剖部位,15,19
15,解剖部位,70,71
15,解剖部位,73,74
15,解剖部位,124,126
15,解剖部位,145,147
16,解剖部位,7,10
16,解剖部位,14,18
16,解剖部位,34,35
16,解剖部位,53,54
16,解剖部位,61,62
16,解剖部位,64,65
16,解剖部位,68,69
16,解剖部位,71,72
16,解剖部位,129,131
16,疾病和诊断,147,158
16,解剖部位,162,164
16,手术,170,178
16,疾病和诊断,192,194
17,疾病和诊断,9,14
17,手术,31,43
17,解剖部位,63,64
17,疾病和诊断,113,128
17,影像检查,175,179
17,解剖部位,180,184
17,手术,213,225
17,手术,243,256
17,手术,279,289
17,疾病和诊断,328,333
18,药物,15,21
18,解剖部位,27,29
18,解剖部位,41,42
18,解剖部位,45,46
18,解剖部位,85,86
18,疾病和诊断,122,126
18,疾病和诊断,158,165
18,疾病和诊断,166,172
18,解剖部位,201,204
18,疾病和诊断,211,217
18,疾病和诊断,230,234
19,影像检查,13,16
19,疾病和诊断,19,28
19,解剖部位,52,54
19,解剖部位,55,58
19,疾病和诊断,60,80
19,解剖部位,94,96
19,疾病和诊断,98,124
19,解剖部位,139,141
19,解剖部位,175,177
19,解剖部位,178,181
19,疾病和诊断,182,193
19,解剖部位,194,196
19,疾病和诊断,198,212
19,疾病和诊断,259,266
20,解剖部位,18,20
20,手术,50,58
20,解剖部位,71,73
20,手术,95,103
20,疾病和诊断,120,135
20,手术,144,158
20,解剖部位,195,196
20,解剖部位,198,199
20,解剖部位,226,227
20,疾病和诊断,251,257
21,解剖部位,14,15
21,解剖部位,17,18
21,解剖部位,23,25
21,解剖部位,46,48
21,解剖部位,63,64
21,解剖部位,88,89
21,解剖部位,94,95
21,解剖部位,106,108
21,解剖部位,123,127
21,解剖部位,133,135
21,实验室检验,165,168
21,实验室检验,183,186
21,实验室检验,200,202
21,疾病和诊断,209,216
21,解剖部位,239,240
21,解剖部位,248,249
21,解剖部位,301,303
21,解剖部位,318,319
21,解剖部位,351,352
21,疾病和诊断,392,404
22,疾病和诊断,9,22
22,手术,29,64
22,解剖部位,78,79
22,疾病和诊断,84,95
22,解剖部位,96,102
22,解剖部位,121,122
22,解剖部位,128,129
22,解剖部位,166,167
22,解剖部位,169,170
22,疾病和诊断,208,212
23,疾病和诊断,11,15
23,手术,31,48
23,解剖部位,79,83
23,疾病和诊断,92,98
23,药物,123,127
23,药物,128,131
23,疾病和诊断,206,211
24,解剖部位,24,25
24,解剖部位,46,47
24,解剖部位,49,50
24,解剖部位,66,67
24,疾病和诊断,84,87
24,解剖部位,91,92
24,药物,116,120
24,解剖部位,122,123
24,疾病和诊断,145,170
24,疾病和诊断,171,180
24,解剖部位,220,223
24,解剖部位,226,228
24,解剖部位,271,272
24,疾病和诊断,303,306
25,解剖部位,18,20
25,解剖部位,24,25
25,解剖部位,51,54
25,解剖部位,67,68
25,解剖部位,75,76
25,解剖部位,78,79
25,解剖部位,133,137
25,解剖部位,163,167
26,解剖部位,24,26
26,解剖部位,68,70
26,解剖部位,72,73
26,解剖部位,99,100
26,解剖部位,116,118
26,疾病和诊断,162,171
26,解剖部位,180,182
26,手术,193,200
27,解剖部位,14,16
27,解剖部位,121,122
27,疾病和诊断,127,135
27,手术,139,145
28,实验室检验,88,91
28,手术,100,116
28,疾病和诊断,122,127
28,解剖部位,181,182
28,疾病和诊断,214,217
28,疾病和诊断,241,244
28,解剖部位,262,265
29,疾病和诊断,7,13
29,手术,17,23
29,解剖部位,30,32
29,疾病和诊断,63,69
29,解剖部位,117,118
29,解剖部位,120,121
29,解剖部位,127,128
29,药物,152,154
29,解剖部位,193,194
29,解剖部位,196,197
29,解剖部位,200,201
29,解剖部位,215,217
30,解剖部位,11,14
30,疾病和诊断,32,36
30,解剖部位,55,56
30,解剖部位,73,76
30,疾病和诊断,110,117
30,疾病和诊断,138,141
30,手术,153,159
30,解剖部位,174,177
30,解剖部位,203,204
30,解剖部位,206,207
30,解剖部位,210,211
30,解剖部位,213,214
30,疾病和诊断,245,252
31,解剖部位,16,17
31,疾病和诊断,29,31
31,手术,43,50
31,疾病和诊断,88,92
31,影像检查,139,141
31,疾病和诊断,143,153
31,解剖部位,192,193
31,解剖部位,196,197
32,解剖部位,26,28
32,疾病和诊断,39,43
32,解剖部位,93,94
32,解剖部位,97,98
32,解剖部位,100,101
32,解剖部位,104,105
32,解剖部位,107,108
32,疾病和诊断,138,156
32,解剖部位,161,167
32,手术,191,197
32,解剖部位,238,240
32,疾病和诊断,343,354
32,疾病和诊断,355,361
33,解剖部位,14,15
33,手术,18,23
33,疾病和诊断,26,37
33,药物,40,44
33,药物,45,49
33,解剖部位,87,90
33,影像检查,100,104
33,疾病和诊断,105,111
33,疾病和诊断,120,124
33,手术,163,171
33,疾病和诊断,177,185
34,解剖部位,25,27
34,解剖部位,120,122
34,解剖部位,129,131
34,解剖部位,141,142
34,影像检查,158,160
34,解剖部位,163,168
34,疾病和诊断,178,181
34,解剖部位,185,196
34,手术,211,226
34,解剖部位,239,241
34,疾病和诊断,247,257
34,解剖部位,264,266
34,疾病和诊断,307,330
34,解剖部位,398,400
35,解剖部位,10,11
35,影像检查,33,42
35,疾病和诊断,44,51
35,疾病和诊断,52,57
35,解剖部位,58,62
35,解剖部位,77,78
35,手术,107,118
35,解剖部位,137,138
35,解剖部位,165,166
35,解剖部位,168,169
35,解剖部位,190,191
35,疾病和诊断,241,248
36,解剖部位,14,16
36,解剖部位,46,47
36,解剖部位,49,50
36,解剖部位,74,80
36,疾病和诊断,94,99
36,解剖部位,120,121
36,解剖部位,123,124
36,解剖部位,136,137
36,解剖部位,139,140
37,疾病和诊断,6,11
37,手术,15,21
37,疾病和诊断,46,57
37,药物,69,73
37,药物,85,89
37,药物,100,103
37,解剖部位,125,126
37,解剖部位,145,146
37,疾病和诊断,178,183
38,手术,9,24
38,疾病和诊断,40,54
38,解剖部位,57,58
38,解剖部位,74,76
38,解剖部位,83,89
38,解剖部位,139,140
38,解剖部位,142,143
38,疾病和诊断,178,184
38,解剖部位,214,215
39,解剖部位,10,11
39,解剖部位,16,17
39,解剖部位,24,25
39,解剖部位,57,58
39,手术,128,138
39,解剖部位,142,144
39,解剖部位,151,153
39,解剖部位,163,167
39,解剖部位,182,183
39,疾病和诊断,201,213
39,解剖部位,314,315
39,药物,370,374
39,药物,382,385
39,疾病和诊断,403,419
39,疾病和诊断,503,506
39,疾病和诊断,507,510
40,解剖部位,16,19
40,解剖部位,25,28
40,手术,46,53
40,手术,65,73
40,手术,84,94
40,疾病和诊断,106,119
40,疾病和诊断,120,134
40,解剖部位,141,146
40,解剖部位,149,155
40,疾病和诊断,158,172
41,解剖部位,20,22
41,解剖部位,23,26
41,手术,31,36
41,疾病和诊断,42,46
41,解剖部位,69,72
41,解剖部位,73,76
